ID	WO	Title	Series	Episode	HouseMaterialID	DateWOReceived	Component	Language	LicenceStartDate	EarliestTXDate	ComplianceRequired	Workflow	Medianeeded	ETAMToVendors	MDeliveredToVendor	VersionETAToVendors	OVersionDeliveredToVendor	OEVersionDeliveredToVendor	EEVersionDeliveredToVendor	ETA-Mbackfromvendor	ETAVersionsBackfromVendor	MFileBackFromVendor	OFileBackFromVendor	OEFileBackFRomVendor	EEFileBackFromVendor	PremiumContent	Channel	Destination	LocalisationVendor
78		Live at the Apollo [Episodic]_Series 10	10	2	2245630	21/08/2015	SUB	HE	01/10/2015	23/01/2016	Y	BAU	CV		26/08/2015		21/10/2015			09/09/2015	04/11/2015						BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
79		Live at the Apollo [Episodic]_Series 10	10	3	2245631	21/08/2015	SUB	HE	01/10/2015	30/01/2016	Y	BAU	CV		26/08/2015		21/10/2015			09/09/2015	04/11/2015						BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
80		Moone Boy [Episodic]_Series 2	2	2	2244803	26/08/2015	SUB	HE	01/01/2015	18/01/2016	N	Version Loc Only	O	N/A			10/12/2015				24/12/2015		22/12/2015				BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
81		Only Fools And Horses	4	6	23295	10/04/2015	SUB	HE	31/03/2015	27/01/2016	N	BAU	M	Fulfilled															
82		Only Fools And Horses	4	7	23296	10/04/2015	SUB	HE	01/04/2016	28/01/2016	Y	BAU	CV	N/A	12/09/2015		22/01/2016										BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
83		Only Fools And Horses	4	5	23294	10/04/2015	SUB	HE	31/03/2015		N	BAU	M	Fulfilled															
84		Only Fools And Horses	1	7	2249072	29/09/2015	SUB	HE	01/01/2016		N	Version Loc Only	O	N/A			27/11/2015				11/12/2015						BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
85		Only Fools And Horses	3	7	21288	31/08/2015	SUB	HE	01/04/2014	20/01/2016	N	Version Loc Only	OE	N/A				05/01/2016			05/01/2016						BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
86		PRAMFACE	3	1	2249702	29/09/2015	SUB	HE	01/01/2016		Y	BAU	CV		27/11/2015	Await Edit				11/12/2015							BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
87		PRAMFACE	3	2	2249703	29/09/2015	SUB	HE	01/01/2016		Y	BAU	CV		27/11/2015	Await Edit				11/12/2015							BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
88		PRAMFACE	3	3	2249704	29/09/2015	SUB	HE	01/01/2016		Y	BAU	CV		27/11/2015	Await Edit				11/12/2015							BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
89		PRAMFACE	3	4	2249705	29/09/2015	SUB	HE	01/01/2016		Y	BAU	CV		27/11/2015	Await Edit				11/12/2015							BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
90		PRAMFACE	3	5	2249706	29/09/2015	SUB	HE	01/01/2016		Y	BAU	CV		27/11/2015	Await Edit				11/12/2015							BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
91		PRAMFACE	3	6	2249707	29/09/2015	SUB	HE	01/01/2016		Y	BAU	CV		27/11/2015	Await Edit				11/12/2015							BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
92		PREY	1	1	2249855	29/09/2015	SUB	HE	01/01/2016	12/01/2016	Y	BAU	CV		27/11/2015		02/01/2016			11/12/2015		25/12/2015	05/01/2016				BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
93		PREY	1	2	2249856	29/09/2015	SUB	HE	01/01/2016	19/01/2016	Y	BAU	CV		11/27/2015		04/01/2016			11/12/2015	18/01/2016	04/01/2016	05/01/2016				BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
94		PREY	1	3	2249857	29/09/2015	SUB	HE	01/01/2016	27/01/2016	Y	BAU	CV		27/11/2015		18/01/2016		18/01/2016	11/12/2015	01/02/2016	13/01/2016	18/01/2016		18/01/2016		BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
95		Stella	3	1	2248289	29/09/2015	SUB	HE	01/01/2016	20/01/2016	N	Version Loc Only	O + OE	N/A			26/11/2015	26/11/2015			10/12/2015		04/01/2016	04/01/2016			BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
96		Stella	3	2	2248290	29/09/2015	SUB	HE	01/01/2016	28/01/2016	N	Version Loc Only	O + OE	N/A			25/11/2015	25/11/2015			09/12/2015		13/01/2016	13/01/2016			BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
97		W1A	1	1	2245707	29/09/2015	SUB	HE	01/01/2016		N	BAU	CV		22/12/2015			01/12/2015		05/01/2016	01/12/2015						BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
98		W1A	1	2	2245708	29/09/2015	SUB	HE	01/01/2016		N	BAU	CV		22/12/2015			27/11/2015		05/01/2016	27/11/2015						BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
99		W1A	1	3	2245709	29/09/2015	SUB	HE	01/01/2016		N	BAU	CV		22/12/2015			27/11/2015		05/01/2016	27/11/2015						BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
100		W1A	1	4	2245710	29/09/2015	SUB	HE	01/01/2016		N	BAU	CV		19/12/2015			22/12/2015		02/01/2016	22/12/2015						BBC Entertainment (Europe)	Red Bee TX	VSI - Israel
